id;create_time_stamp;update_time_stamp;first_name;last_name;email;description;recovery_phrase;archived
1;2024-03-12T13:31:10;2024-03-12T11:51:44;Enrique;Towne;Frida.Cassin20@hotmail.com;copying;Avon;true
2;2024-03-12T10:15:01;2024-03-11T20:41:56;Albertha;Shanahan;Dovie_Mills47@yahoo.com;Tasty productivity;Western pixel;true
3;2024-03-12T08:50:14;2024-03-11T22:33:34;Lew;Lockman;Hallie.Predovic80@gmail.com;Salad;Reunion open-source Indiana;false
4;2024-03-11T22:21:24;2024-03-12T19:16:09;Rosalind;Lind;Ethel27@gmail.com;Administrator back-end distributed;directional Account Ouguiya;true
5;2024-03-12T08:57:53;2024-03-12T19:46:09;Darian;Schiller;Imelda72@gmail.com;Chips Fresh;reboot interface;true
6;2024-03-12T05:25:05;2024-03-12T07:36:57;Mack;Dickinson;Saul.Gerlach16@yahoo.com;Tuna;Pizza;true
7;2024-03-12T13:39:26;2024-03-12T18:14:07;Angie;Runte;Delpha2@gmail.com;Berkshire COM back-end;state;true
8;2024-03-12T04:22:21;2024-03-11T22:15:29;Morris;Emmerich;Keyon.Lind74@hotmail.com;e-markets Centers feed;parse bleeding-edge;true
9;2024-03-11T21:00:49;2024-03-12T04:04:41;Lemuel;Kuvalis;Irwin.Simonis56@hotmail.com;open Papua Strategist;drive;true
10;2024-03-12T12:37:55;2024-03-12T15:37:51;Kaden;Hyatt;Rosario_Parker@hotmail.com;Hat Polarised;Fantastic Rubber invoice;false
